date,num1,num2,num3,num4,num5,num6,sup1,sup2
10/10/2016,2,14,24,33,36,43,10,40
03/10/2016,3,7,25,39,41,44,12,42
26/09/2016,1,5,16,18,24,38,15,32
19/09/2016,3,14,16,27,28,45,13,21
12/09/2016,5,8,12,21,26,44,14,33
05/09/2016,13,14,24,25,27,45,40,43
29/08/2016,21,22,24,25,31,43,32,45
22/08/2016,4,6,13,19,35,39,2,34
15/08/2016,3,15,22,24,28,45,12,23
08/08/2016,2,4,25,29,38,39,6,37
01/08/2016,5,15,24,26,42,45,4,17
25/07/2016,16,20,30,36,37,44,8,24
18/07/2016,3,7,30,39,40,43,31,42
11/07/2016,6,7,24,27,36,40,11,38
04/07/2016,1,6,9,12,15,20,25,38
27/06/2016,1,13,21,22,38,39,41,43
20/06/2016,14,24,29,35,39,45,16,30
13/06/2016,10,12,18,30,37,42,16,29
06/06/2016,3,4,14,16,38,39,23,45
30/05/2016,8,14,17,20,33,37,5,29
23/05/2016,6,17,20,25,26,28,13,39
16/05/2016,4,8,22,24,28,31,6,13
09/05/2016,9,12,26,29,30,40,7,8
02/05/2016,11,14,24,25,40,41,32,38
25/04/2016,8,20,28,29,35,43,1,39
18/04/2016,1,10,21,22,26,32,35,42
11/04/2016,9,13,22,26,29,35,30,34
04/04/2016,27,32,33,35,43,45,16,44
28/03/2016,10,13,19,22,25,26,29,44
21/03/2016,9,14,15,18,31,43,2,42
14/03/2016,5,14,19,20,23,42,3,12
07/03/2016,5,10,20,33,35,36,6,42
29/02/2016,5,7,28,33,43,45,16,17
22/02/2016,4,8,33,34,41,43,19,32
15/02/2016,9,16,17,23,25,30,14,26
08/02/2016,11,13,31,33,40,45,26,39
01/02/2016,13,29,31,36,41,43,3,45
25/01/2016,8,13,14,17,25,28,23,34
18/01/2016,6,14,31,41,42,45,25,32
11/01/2016,3,8,10,23,26,27,5,24
04/01/2016,2,3,26,30,35,41,21,24
28/12/2015,18,25,29,31,38,43,22,39
21/12/2015,6,14,16,27,31,34,17,44
14/12/2015,2,5,16,19,31,39,6,10
07/12/2015,12,20,24,28,29,34,13,39
30/11/2015,16,20,28,30,33,34,6,9
23/11/2015,4,17,20,21,29,37,34,38
16/11/2015,10,20,32,34,44,45,8,27
09/11/2015,5,13,21,23,27,42,3,34
02/11/2015,15,18,20,22,31,45,17,24
26/10/2015,2,9,23,26,42,43,10,37
19/10/2015,15,24,25,28,30,34,16,21
12/10/2015,3,10,13,16,36,40,7,45
05/10/2015,4,14,15,16,27,36,1,8
28/09/2015,8,9,17,30,32,33,1,18
21/09/2015,5,15,18,25,26,40,3,12
14/09/2015,2,7,12,20,37,38,28,41
07/09/2015,2,10,17,26,34,38,3,18
31/08/2015,4,12,18,32,36,44,27,33
24/08/2015,9,11,13,15,24,35,23,33
17/08/2015,12,14,17,25,41,42,31,44
10/08/2015,4,10,12,16,29,31,9,36
03/08/2015,12,18,19,24,30,35,22,43
27/07/2015,8,16,32,35,39,42,3,20
20/07/2015,3,27,28,31,33,42,39,44
13/07/2015,1,3,20,24,29,33,7,42
06/07/2015,4,11,12,27,30,41,29,44
29/06/2015,6,20,30,32,42,45,37,40
22/06/2015,22,23,24,37,39,40,19,26
15/06/2015,12,19,27,28,31,39,2,30
08/06/2015,5,10,30,32,36,45,11,21
01/06/2015,8,17,22,30,32,39,6,29
25/05/2015,5,7,18,34,36,37,6,15
18/05/2015,2,5,16,23,39,41,38,43
11/05/2015,1,7,8,16,28,36,2,20
04/05/2015,3,4,12,17,18,36,15,41
27/04/2015,14,20,21,26,32,43,1,15
20/04/2015,2,4,9,29,38,45,5,25
13/04/2015,5,8,18,27,37,43,22,40
06/04/2015,25,27,33,40,44,45,6,18
30/03/2015,17,19,32,33,39,45,15,23
23/03/2015,18,22,24,26,33,43,7,29
16/03/2015,13,22,24,29,34,42,2,23
09/03/2015,1,17,24,27,34,43,2,28
02/03/2015,6,7,11,31,35,45,15,25
23/02/2015,3,12,15,25,28,39,26,33
16/02/2015,5,6,16,27,29,39,12,36
09/02/2015,17,19,20,21,26,41,25,38
02/02/2015,6,7,19,28,31,35,2,26
26/01/2015,9,14,15,25,28,30,21,38
19/01/2015,6,7,11,32,40,42,35,45
12/01/2015,15,16,28,29,37,41,3,5
05/01/2015,7,15,20,29,38,43,1,24
29/12/2014,4,15,17,20,29,31,33,41
22/12/2014,3,4,6,13,14,39,17,42
15/12/2014,4,7,14,20,29,37,38,45
08/12/2014,4,16,20,34,38,44,13,29
01/12/2014,1,7,8,15,31,43,3,29
24/11/2014,4,9,23,28,34,43,3,20
17/11/2014,1,5,7,10,24,35,3,33
10/11/2014,2,24,25,32,35,45,12,37
03/11/2014,4,24,28,32,40,45,13,36
27/10/2014,8,9,23,32,33,44,15,25
20/10/2014,1,9,28,35,38,45,14,29
13/10/2014,1,7,23,33,34,40,8,18
06/10/2014,4,13,25,28,31,34,16,37
29/09/2014,10,12,22,30,31,33,18,44
22/09/2014,13,28,29,30,35,39,25,40
15/09/2014,1,8,35,39,41,45,5,12
08/09/2014,22,26,28,30,32,43,8,41
01/09/2014,3,11,16,17,25,38,21,34
25/08/2014,13,14,15,23,28,30,2,24
18/08/2014,5,11,12,15,20,41,33,38
11/08/2014,3,5,14,25,26,39,8,18
04/08/2014,11,28,33,39,40,44,17,38
28/07/2014,3,5,6,16,36,40,20,22
21/07/2014,2,17,18,31,37,40,5,12
14/07/2014,2,11,18,28,33,39,15,30
07/07/2014,5,18,36,38,41,42,10,30
30/06/2014,4,16,21,29,30,41,28,44
23/06/2014,13,22,26,28,35,39,16,24
16/06/2014,1,8,12,13,34,41,20,23
09/06/2014,13,15,22,26,28,37,4,39
02/06/2014,3,4,16,21,23,34,7,18
26/05/2014,6,21,27,30,34,35,10,37
19/05/2014,3,4,12,25,34,37,6,40
12/05/2014,1,13,18,19,39,43,24,31
05/05/2014,19,24,26,36,39,41,12,16
