date,num1,num2,num3,num4,num5,num6,sup1,sup2
07/06/2017,2,6,11,17,27,29,3,23
31/05/2017,6,16,19,25,32,42,3,12
24/05/2017,2,11,19,32,36,42,10,21
17/05/2017,5,11,18,25,27,30,19,21
10/05/2017,4,14,17,29,38,39,9,24
03/05/2017,4,11,16,19,35,38,1,39
26/04/2017,3,5,10,19,21,40,9,32
19/04/2017,1,5,7,22,27,31,33,45
12/04/2017,5,8,9,10,22,44,24,33
05/04/2017,4,6,11,24,28,43,38,44
29/03/2017,12,20,27,32,37,38,41,43
22/03/2017,6,11,18,22,23,35,27,37
15/03/2017,3,5,33,34,38,39,17,45
08/03/2017,2,8,25,30,34,43,1,44
01/03/2017,5,9,13,38,41,42,15,28
22/02/2017,10,26,30,42,43,44,13,14
15/02/2017,3,6,26,30,39,43,35,36
08/02/2017,8,10,12,19,31,35,30,32
01/02/2017,6,17,21,25,29,31,1,3
25/01/2017,8,16,19,22,37,43,5,31
18/01/2017,12,24,29,32,36,39,16,38
11/01/2017,1,12,21,27,44,45,16,38
04/01/2017,7,15,19,26,28,34,12,22
28/12/2016,1,4,6,10,16,20,34,36
21/12/2016,3,14,17,27,32,33,25,44
14/12/2016,1,9,19,28,29,41,10,38
07/12/2016,5,10,16,29,34,42,2,32
30/11/2016,6,7,16,25,33,40,9,15
23/11/2016,6,15,30,32,37,40,13,18
16/11/2016,3,4,7,35,43,44,8,25
09/11/2016,3,4,7,19,22,38,15,20
02/11/2016,3,5,6,7,23,31,9,22
26/10/2016,7,10,16,20,24,42,25,35
19/10/2016,8,12,23,30,33,44,9,35
12/10/2016,10,21,22,23,32,34,7,36
05/10/2016,2,10,21,37,39,40,8,30
28/09/2016,4,5,30,39,40,45,1,43
21/09/2016,3,4,10,29,30,42,7,38
14/09/2016,4,18,20,24,35,36,15,34
07/09/2016,7,10,34,41,43,45,28,29
31/08/2016,10,17,25,32,43,44,13,28
24/08/2016,9,19,31,36,37,42,27,35
17/08/2016,23,27,37,38,41,42,34,40
10/08/2016,2,12,17,25,27,43,29,42
03/08/2016,12,15,23,29,34,42,3,31
27/07/2016,9,23,27,34,37,43,24,45
20/07/2016,12,16,23,27,29,41,1,38
13/07/2016,1,14,16,27,31,32,37,39
06/07/2016,2,8,15,29,41,45,24,37
29/06/2016,21,22,23,28,31,42,14,37
22/06/2016,4,5,10,20,24,26,17,21
15/06/2016,25,28,30,39,40,42,6,13
08/06/2016,20,22,33,39,42,43,27,28
